dataset,fold,method,accuracy,weighted_f1,runtime_seconds,search_reduction_percent,n_samples,n_features
TwoMoons,2,L2,0.98,0.9799919967987194,0.0025660940000022947,,1000,2
TwoMoons,2,FullP,0.98,0.9799919967987194,0.03434953100000371,0.0,1000,2
TwoMoons,2,APG_AMS,0.98,0.9799919967987194,0.008216372999982013,80.0,1000,2
TwoMoons,2,NCA,0.99,0.98999899989999,0.8826544539999759,,1000,2
TwoMoons,2,LMNN,0.98,0.9799919967987194,3.0498165669999935,,1000,2
TwoMoons,3,L2,0.97,0.96999699969997,0.0032715189999805716,,1000,2
TwoMoons,3,FullP,0.97,0.96999699969997,0.035070719999993116,0.0,1000,2
TwoMoons,3,APG_AMS,0.97,0.96999699969997,0.008183021999997209,80.0,1000,2
TwoMoons,3,NCA,0.97,0.96999699969997,0.38957424299999843,,1000,2
TwoMoons,3,LMNN,0.97,0.96999699969997,3.0237522430000183,,1000,2
TwoMoons,4,L2,0.97,0.96999699969997,0.0026007559999925434,,1000,2
TwoMoons,4,FullP,0.97,0.96999699969997,0.03473938900000917,0.0,1000,2
TwoMoons,4,APG_AMS,0.97,0.96999699969997,0.008098705000008977,80.0,1000,2
TwoMoons,4,NCA,0.97,0.96999699969997,0.49371291100001713,,1000,2
TwoMoons,4,LMNN,0.97,0.96999699969997,2.9636085779999917,,1000,2
TwoMoons,5,L2,0.99,0.98999899989999,0.0025422670000239123,,1000,2
TwoMoons,5,FullP,0.99,0.98999899989999,0.03450765099998421,0.0,1000,2
TwoMoons,5,APG_AMS,0.99,0.98999899989999,0.00814168800002335,80.0,1000,2
TwoMoons,5,NCA,0.99,0.98999899989999,0.7951756200000091,,1000,2
TwoMoons,5,LMNN,0.99,0.98999899989999,3.0049825090000013,,1000,2
TwoMoons,6,L2,0.97,0.96999699969997,0.0025306999999941127,,1000,2
